health_region_code,year,dH,dCFR,outcome_known,hosp_known
33004,2023,0.04471544715447151,0.15789473684210525,38,41
33004,2024,-0.08857509627727855,0.008771929824561403,18,19
33004,2025,-0.03947368421052633,-0.09523809523809523,14,16
33005,2008,0.13812842210054754,-0.05607627666451198,91,98
33005,2009,-0.09770207295516631,-0.07478115105233749,118,127
33005,2010,0.07159860831349574,0.080098414434117,124,129
33005,2011,-0.11202495745887697,-0.02729528535980147,78,82
33005,2012,0.09443402126328959,-0.02564102564102566,78,78
33005,2013,-0.06211102813044567,-0.03670715249662618,95,103
33005,2014,0.03097549699491453,0.17703349282296652,55,63
33005,2015,0.06298003072196623,-0.13492822966507179,57,62
33005,2016,0.032258064516129004,0.03233082706766918,70,79
33005,2017,-0.06666666666666665,-0.045326278659612,81,90
33005,2018,-0.011003236245954673,0.05802469135802468,90,103
33005,2019,0.034566454636759225,-0.04603174603174601,105,116
33005,2020,0.008015728977616488,0.08677248677248675,54,57
33005,2021,-0.01369276850663248,-0.21734892787524365,38,41
33005,2022,-0.25235587583148555,0.040549486924859324,159,176
33005,2023,0.2002960275019099,-0.012353998203054814,112,119
33005,2024,0.02861811391223157,0.05637915543575921,159,180
33005,2025,0.03650793650793649,0.013693177294801379,79,84
33006,2008,0.1094262295081968,-0.00915750915750918,42,61
33006,2009,0.012942191544434767,-0.24307862679955702,43,57
33006,2010,-0.008906882591093068,0.03598069328652917,53,65
33006,2011,-0.018461538461538418,0.004716981132075471,20,25
33006,2012,-0.040000000000000036,-0.03947368421052633,19,25
33006,2013,-0.036250000000000004,-0.018218623481781354,26,32
33006,2014,0.08217592592592593,0.141025641025641,21,27
33006,2015,-0.10239651416122009,0.023809523809523836,14,17
33006,2016,0.1098039215686275,-0.05714285714285716,20,30
33006,2017,-0.038596491228070184,0.05714285714285716,14,19
33006,2018,0.0052631578947368585,-0.2857142857142857,28,30
33006,2019,-0.09047619047619049,0.1103896103896104,22,21
33006,2020,0.13165266106442575,-0.038961038961038974,14,17
33006,2023,-0.1428571428571429,-0.13186813186813184,39,42
33006,2024,0.03759398496240607,0.022624434389140274,17,19
33007,2008,0.251336898395722,0.11176470588235293,17,17
33007,2009,0.1217038539553752,-0.3427991886409736,29,29
33007,2010,-0.21647509578544055,0.1663286004056795,17,18
33007,2011,0.13888888888888884,-0.1519607843137255,12,12
33007,2012,0.06818181818181823,-0.08333333333333333,11,11
33007,2024,-0.3153846153846153,0.1,10,13
33008,2009,-0.09090909090909094,0.09893048128342247,22,22
33008,2012,-0.16666666666666663,-0.021390374331550832,11,12
33008,2024,-0.03418803418803429,0.08333333333333334,16,18
33008,2025,-0.07070707070707061,0.11363636363636365,11,11
33009,2008,-0.015979814970563555,0.17948717948717952,13,29
33009,2009,0.03078817733990158,-0.09935897435897437,24,28
33009,2010,-0.02619047619047621,-0.0654761904761905,14,15
33009,2011,-0.6257575757575757,-0.13221884498480244,188,220
33009,2012,0.634090909090909,0.11057382333978079,33,32
33009,2013,-0.0818965517241379,0.20021645021645024,28,29
33009,2014,0.064039408866995,-0.07142857142857145,12,14
33009,2015,-0.0793650793650793,-0.25,15,18
33009,2016,-0.09027777777777779,0.26666666666666666,15,16
33009,2017,0.20138888888888884,-0.14901960784313725,17,18
33009,2018,0.04861111111111116,-0.06209150326797386,18,32
33009,2019,0.009868421052631526,0.0032679738562091526,17,19
33009,2023,0.31388888888888883,0.06195652173913043,23,24
33009,2024,-0.10416666666666663,0.013043478260869573,30,32
33009,2025,-0.007499999999999951,0.01999999999999999,25,25
35011,2008,0.22399884759435318,0.07575757575757575,90,89
35011,2009,0.026916903321397734,-0.05952380952380952,84,91
35011,2010,-0.0816095669036846,0.007611241217798603,122,136
35011,2011,-0.01369168356997974,-0.04268202628858367,111,116
35011,2012,-0.2395052473763118,0.06275938860208523,89,92
35011,2013,0.08433283358320837,-0.045722549783068195,101,116
35011,2014,-0.11624026696329254,0.004349033034144537,107,124
35011,2015,0.24633431085043983,0.029618979151689442,65,66
35011,2016,0.2604895104895105,0.08146853146853147,44,52
35011,2017,-0.013736263736263687,0.16387559808612437,38,42
35011,2018,0.011428571428571344,-0.10175438596491226,45,50
35011,2019,-0.06727272727272726,-0.037500000000000006,48,55
35011,2020,0.023824451410658365,0.14583333333333334,24,29
35011,2021,0.06178160919540232,-0.27976190476190477,21,24
35011,2022,-0.04404761904761911,0.1116584564860427,29,35
35011,2023,0.06071428571428572,-0.0304259634888438,34,40
35011,2024,-0.08214285714285707,0.07352941176470587,24,28
35011,2025,0.08333333333333326,0.05555555555555558,36,42
35013,2008,0.13095238095238093,-0.042857142857142844,10,12
35013,2009,-0.021929824561403466,0.1,15,19
35013,2010,-0.02517162471395884,-0.033333333333333354,18,23
35013,2011,-0.18206521739130432,-0.16666666666666666,12,16
35013,2012,0.27249999999999996,0.0,17,25
35013,2013,-0.06714285714285706,0.08333333333333333,24,28
35013,2014,0.0071428571428571175,-0.08333333333333333,18,20
35013,2015,-0.11428571428571432,0.14285714285714285,14,14
35013,2016,0.08385093167701863,-0.07619047619047618,15,23
35013,2017,0.08043478260869563,0.26666666666666666,15,20
35013,2018,0.050000000000000044,-0.2564102564102564,13,15
35013,2019,-0.052631578947368474,0.11057692307692307,16,19
35013,2020,-0.17813765182186225,-0.10416666666666667,12,13
35013,2023,-0.11111111111111116,-0.021367521367521375,18,18
35014,2008,0.0838433292533659,-0.008783783783783777,37,38
35014,2009,-0.08771929824561397,-0.07335907335907338,28,36
35014,2010,0.06989247311827951,-0.10714285714285714,28,31
35014,2011,-0.016862170087976525,0.2976190476190476,39,44
35014,2012,0.06712473572938693,-0.12745098039215685,34,43
35014,2013,-0.08682170542635659,0.02941176470588236,34,45
35014,2014,-0.08405797101449275,-0.024767801857585148,19,23
35014,2015,-0.04576659038901609,-0.05668016194331982,13,19
35014,2016,0.1722488038277512,0.08615384615384614,25,33
35014,2017,-0.016233766233766156,-0.1246153846153846,26,28
35014,2018,0.06168831168831168,0.12271062271062269,21,22
35014,2019,0.0019762845849802257,-0.15476190476190477,24,23
35014,2020,0.04347826086956519,0.0931372549019608,17,17
35014,2021,-0.06666666666666665,0.09019607843137253,15,15
35014,2022,0.06666666666666665,-0.1,18,21
35014,2023,0.0,0.018518518518518517,27,29
35014,2024,0.0,0.14814814814814814,12,14
35014,2025,-0.0625,-0.11458333333333331,32,32
35015,2008,-0.1517857142857143,-0.08455284552845528,41,42
35015,2009,0.08270676691729328,0.06550522648083623,35,38
35015,2010,0.07360793287566736,-0.02337662337662337,66,69
35015,2011,-0.09017713365539448,0.046345811051693414,51,54
35015,2012,-0.042328042328042326,-0.0658263305322129,42,42
